mode,f_obs,f_unc,f_prem,q_obs,q_unc,q_prem,Q_obs,Q_unc,Q_prem,k_obs,k_unc,k_prem,ref
0T21,2888.67,0.5,2888.2,7.42,0.3,7.118,134.7708895,5.448957796,140.4889014,6.73E-05,2.72E-06,6.46E-05,"RR,tvf"
2S13,2897,0.7,2899.9,,,5.738,,,174.2767515,,,5.23E-05,W
2T8,2912.7,1.5,2913.97,3.58,0.8,4.363,279.3296089,62.42002434,229.2000917,3.28E-05,7.32E-06,3.99E-05,RR
3S9,2951,0.6,2951.58,3.79,0.3,3.865,263.8522427,20.8854018,258.7322122,3.51E-05,2.78E-06,3.58E-05,"34,RR"
0S21,2977.3,0.2,2977.73,3.76,0.1,4.303,265.9574468,7.073336351,232.3960028,3.52E-05,9.35E-07,4.03E-05,"33c ,RR"
0T22,3000.96,0.5,2999.37,7.6,0.3,7.178,131.5789474,5.193905817,139.3145723,7.17E-05,2.83E-06,6.76E-05,"32c ,G"
5S6,3011.55,0.15,3010.69,1.75,0.1,1.975,571.4285714,32.65306122,506.3291139,1.66E-05,9.46E-07,1.87E-05,27
2S14,3063,2,3063.6,,,5.322,,,187.899286,,,5.12E-05,40/34
0S22,3074.7,0.2,3075.27,4.02,0.1,4.45,248.7562189,6.187965644,224.7191011,3.88E-05,9.66E-07,4.30E-05,"33c ,tvf"
3S10,3082.12,0.5,3084.79,,,3.933,,,254.2588355,,,3.81E-05,W
0T23,3111.28,0.5,3110.25,7.3,0.4,7.232,136.9863014,7.506098705,138.2743363,7.14E-05,3.91E-06,7.07E-05,"33c ,tvf"
0S23,3170.7,0.15,3171.26,4.07,0.1,4.594,245.7002457,6.036861074,217.6752286,4.05E-05,9.96E-07,4.58E-05,"33c ,tvf"
1S15,3171.5,1.5,3170.55,,,4.922,,,203.1694433,,,4.90E-05,40/34
3S11,3219.52,0.55,3221.27,,,4.002,,,249.8750625,,,4.05E-05,W
0T24,3222.5,0.4,3220.9,7.28,0.35,7.281,137.3626374,6.60397295,137.3437715,7.37E-05,3.54E-06,7.37E-05,"32c ,tvf"
9S2,3230.5,0.5,3231.75,2.46,0.3,2.456,406.504065,49.57366647,407.1661238,2.50E-05,3.04E-06,2.49E-05,ss
1T14,3255,1.5,3255.59,,,4.691,,,213.1741633,,,4.80E-05,WT
0S24,3265.5,0.2,3265.89,4.11,0.1,4.734,243.3090024,5.919927066,211.2378538,4.22E-05,1.03E-06,4.86E-05,"33c ,tvf"
2T10,3267.5,3.5,3270.21,,,4.193,,,238.492726,,,4.31E-05,WT
3S0,3272.52,0.2,3271.18,0.84,0.03,0.923,1190.47619,42.5170068,1083.423619,8.64E-06,3.08E-07,9.49E-06,"21,A"
5S7,3292,0.3,3290.76,1.9,0.1,2.029,526.3157895,27.70083102,492.8536225,1.97E-05,1.03E-06,2.10E-05,27
0T25,3333,0.6,3331.35,7.32,0.3,7.324,136.6120219,5.598853355,136.5374113,7.66E-05,3.14E-06,7.67E-05,"32c ,tvf"
1S16,3340.84,1.5,3338.62,,,6.024,,,166.002656,,,6.32E-05,W
0S25,3358.85,0.15,3359.38,4.29,0.1,4.869,233.1002331,5.433571867,205.3809817,4.53E-05,1.06E-06,5.14E-05,"33c ,tvf"
3S12,3361.36,0.45,3362.07,,,4.074,,,245.4590083,,,4.30E-05,W
1T15,3407,1.5,3408.95,,,4.733,,,211.2824847,,,5.07E-05,WT
7S4,3411.1,0.6,3413.23,,,2.996,,,333.7783712,,,3.21E-05,0
0T26,3443,0.6,3441.64,7.41,0.3,7.362,134.9527665,5.463674758,135.8326542,8.02E-05,3.24E-06,7.96E-05,"32c ,tvf"
0S26,3451.35,0.15,3451.91,4.44,0.1,5,225.2252252,5.072640208,200,4.81E-05,1.08E-06,5.42E-05,"33c ,tvf"
2T11,3456,2.5,3457.67,,,4.15,,,240.9638554,,,4.51E-05,WT
1S17,3493.39,0.85,3493.94,,,6.309,,,158.5037248,,,6.93E-05,W
3S13,3507.55,0.55,3507.44,,,4.152,,,240.8477842,,,4.58E-05,W
5S8,3526,0.6,3525.65,2.3,0.15,2.391,434.7826087,28.35538752,418.2350481,2.55E-05,1.66E-06,2.65E-05,27
0S27,3543.1,0.15,3543.65,4.49,0.1,5.125,222.7171492,4.960292856,195.1219512,5.00E-05,1.11E-06,5.71E-05,"33,tvf"
0T27,3553.3,0.5,3551.8,7.35,0.3,7.397,136.0544218,5.553241705,135.1899419,8.20E-05,3.35E-06,8.25E-05,tvf
9S3,3556.5,0.4,3554.98,1.45,0.15,1.286,689.6551724,71.34363853,777.6049767,1.62E-05,1.68E-06,1.44E-05,27
1T16,3560.5,1,3560.73,,,4.777,,,209.3364036,,,5.34E-05,WT
0S28,3634.2,0.15,3634.76,4.67,0.08,5.244,214.1327623,3.668227192,190.6941266,5.33E-05,9.13E-07,5.99E-05,"33,tvf"
2T12,3640.5,2.5,3646.13,,,4.134,,,241.8964683,,,4.74E-05,WT
1S18,3643.75,0.6,3644.94,,,6.395,,,156.3721658,,,7.32E-05,W
3S14,3656.2,0.55,3657.11,,,4.234,,,236.1832782,,,4.86E-05,W
7S5,3657.78,0.35,3659.75,2.05,0.2,2.095,487.804878,47.59071981,477.326969,2.36E-05,2.30E-06,2.41E-05,ss
0T28,3663.5,0.5,3661.86,7.35,0.3,7.427,136.0544218,5.553241705,134.643867,8.46E-05,3.45E-06,8.54E-05,"32,tvf"
4S9,3707.5,1.5,3708.76,,,2.95,,,338.9830508,,,3.44E-05,WT
1T17,3710,1,3711.01,,,4.824,,,207.2968491,,,5.62E-05,WT
0S29,3724.7,0.2,3725.34,4.76,0.1,5.358,210.0840336,4.413530118,186.6368048,5.57E-05,1.17E-06,6.27E-05,"33,tvf"
6S8,3737.5,2,3737.62,,,3.615,,,276.6251729,,,4.24E-05,WT
0T29,3773.2,0.7,3771.84,7.45,0.4,7.455,134.2281879,7.206882573,134.1381623,8.83E-05,4.74E-06,8.83E-05,"32,tvf"
1S19,3792.23,0.9,3793.89,,,6.426,,,155.6178027,,,7.66E-05,W
3S15,3810.98,0.6,3810.48,,,4.319,,,231.5350776,,,5.17E-05,W
0S30,3814.8,0.2,3815.52,5.05,0.1,5.467,198.019802,3.921184198,182.9156759,6.05E-05,1.20E-06,6.55E-05,"33,tvf"
2T13,3830.5,3.5,3832.88,,,4.138,,,241.662639,,,4.98E-05,WT
3T9,3843,5,3853.78,,,4.276,,,233.8634238,,,5.18E-05,WT
4S10,3864.07,0.7,3864.58,,,3.307,,,302.3888721,,,4.02E-05,W
9S4,3878.4,1.5,3877.95,1.71,0.2,1.94,584.7953216,68.39711364,515.4639175,2.08E-05,2.44E-06,2.36E-05,ss
0T30,3882.9,0.7,3881.75,7.55,0.4,7.479,132.4503311,7.017236086,133.7077149,9.21E-05,4.88E-06,9.12E-05,"38,tvf"
0S31,3904.7,0.25,3905.4,5.14,0.1,5.571,194.5525292,3.785068661,179.5009873,6.31E-05,1.23E-06,6.84E-05,"33,tvf"
1S20,3939.97,0.8,3941.56,,,6.434,,,155.4243084,,,7.97E-05,W
7S6,3956,0.5,3958.72,1.85,0.2,1.983,540.5405405,58.43681519,504.2864347,2.30E-05,2.49E-06,2.47E-05,ss
6S9,3964.5,3,3965.35,,,3.119,,,320.6155819,,,3.89E-05,WT
3S16,3966.85,0.7,3966.87,,,4.408,,,226.8602541,,,5.49E-05,W
3T10,3990,5,3996.61,,,4.218,,,237.0791844,,,5.30E-05,WT
0T31,3992.6,0.8,3991.62,8.06,0.25,7.501,124.0694789,3.848308899,133.3155579,0.000101098,3.14E-06,9.41E-05,G
0S32,3994,0.25,3995.04,5.22,0.1,5.671,191.5708812,3.669940253,176.3357433,6.55E-05,1.25E-06,7.12E-05,"33,H,tvf"
1T19,4006,2,4007.17,,,4.93,,,202.8397566,,,6.21E-05,WT
4S11,4007.1,0.7,4010.47,,,3.513,,,284.6569883,,,4.43E-05,W
2T14,4011,4.5,4016.39,,,4.155,,,240.6738869,,,5.24E-05,WT
10S2,4040.5,1,4032.33,1.17,0.15,5.217,854.7008547,109.5770327,191.6810427,1.49E-05,1.90E-06,6.61E-05,27
0S33,4083.5,0.3,4084.52,5.35,0.1,5.766,186.9158879,3.493754913,173.4304544,6.86E-05,1.28E-06,7.40E-05,"S,tvf"
1S21,4085.64,0.65,4088.34,,,6.429,,,155.5451859,,,8.26E-05,W
0T32,4102.5,0.8,4101.44,7.65,0.4,7.52,130.7189542,6.834978,132.9787234,9.86E-05,5.16E-06,9.69E-05,"T,tvf"
4S0,4106.43,0.25,4105.76,0.79,0.03,1.032,1265.822785,48.06921968,968.9922481,1.02E-05,3.87E-07,1.33E-05,"21,A"
3S17,4124.01,0.6,4125.58,,,4.497,,,222.3704692,,,5.83E-05,W
1T20,4152,2.5,4153.05,,,4.99,,,200.4008016,,,6.51E-05,40/34
4S12,4153.5,1,4152.98,,,3.643,,,274.4990393,,,4.75E-05,W
8S5,4165.3,0.25,4166.2,1.6,0.15,1.636,625,58.59375,611.2469438,2.09E-05,1.96E-06,2.14E-05,27
0S34,4172.5,0.3,4173.9,5.48,0.1,5.857,182.4817518,3.329958975,170.7358716,7.18E-05,1.31E-06,7.68E-05,"S,tvf"
2T15,4190,2,4196.12,,,4.18,,,239.2344498,,,5.51E-05,WT
6S10,4211.2,0.3,4210.76,,,2.822,,,354.3586109,,,3.73E-05,WT
0T33,4212.2,1,4211.23,,,7.537,,,132.6787847,,,9.97E-05,T
1S22,4231.47,0.8,4234.4,,,6.418,,,155.8117794,,,8.54E-05,W
7S7,4234.1,0.3,4237.85,2.2,0.3,2.409,454.5454545,61.98347107,415.1100042,2.93E-05,3.99E-06,3.21E-05,ss
0S35,4261.7,0.3,4263.23,5.57,0.1,5.945,179.5332136,3.22321748,168.2085786,7.46E-05,1.34E-06,7.96E-05,"S,tvf"
3S18,4283.8,0.7,4285.98,,,4.586,,,218.0549498,,,6.17E-05,W
4S13,4292.05,1.1,4295.21,,,3.728,,,268.2403433,,,5.03E-05,W
1T21,4295,1,4297.42,,,5.055,,,197.8239367,,,6.82E-05,WT
3T12,4317,6,4318.29,,,4.12,,,242.7184466,,,5.59E-05,WT
0T34,4322.2,1,4321,,,7.553,,,132.3977228,,,0.000102531,T
0S36,4351.1,0.3,4352.53,5.66,0.1,6.03,176.6784452,3.121527301,165.8374793,7.74E-05,1.37E-06,8.25E-05,"S,tvf"
2T16,4367,3.5,4372.15,,,4.211,,,237.4732843,,,5.78E-05,WT
1S23,4376.25,1.2,4379.84,,,6.405,,,156.128025,,,8.81E-05,W
0T35,4432,1,4430.75,,,7.566,,,132.1702353,,,0.000105316,T
4S14,4435.3,0.85,4439.08,,,3.784,,,264.2706131,,,5.28E-05,W
1T22,4440,2,4440.27,,,5.124,,,195.1600312,,,7.15E-05,WT
0S37,4440.2,0.35,4441.84,5.69,0.1,6.111,175.7469244,3.088698145,163.6393389,7.94E-05,1.39E-06,8.53E-05,"S,H"
3S19,4446.13,0.7,4447.56,,,4.675,,,213.9037433,,,6.53E-05,W
7S8,4448,1,4452.59,,,3.111,,,321.4400514,,,4.35E-05,WT
5S11,4458,2,4456.55,,,2.669,,,374.6721619,,,3.74E-05,0
3T13,4482,7,4494.38,,,4.09,,,244.4987775,,,5.77E-05,WT
13S1,4494.6,0.35,4495.73,1.3,0.4,1.36,769.2307692,236.6863905,735.2941176,1.84E-05,5.65E-06,1.92E-05,WT
1S24,4521.03,1.2,4524.68,,,6.391,,,156.470036,,,9.08E-05,W
0S38,4529.5,0.35,4531.2,5.88,0.1,6.19,170.0680272,2.892313388,161.5508885,8.37E-05,1.42E-06,8.81E-05,"S,tvf"
0T36,4541.8,1,4540.49,,,7.578,,,131.9609396,,,0.000108095,T        9 S8   5138.50 ± 3.50 5144.45                2.117 WT
2T17,4543,2,4544.86,,,4.245,,,235.5712603,,,6.06E-05,WT
1T23,4580,2,4581.59,,,5.198,,,192.3816853,,,7.48E-05,WT
4S15,4584,1.5,4585.74,,,3.82,,,261.7801047,,,5.50E-05,W/WT
3S20,4608.98,0.9,4609.89,,,4.761,,,210.0399076,,,6.90E-05,W
7S9,4612,2.5,4617.95,,,3.548,,,281.848929,,,5.15E-05,WT
0S39,4618.9,0.35,4620.61,5.97,0.1,6.266,167.5041876,2.805765287,159.5914459,8.66E-05,1.45E-06,9.10E-05,"33,tvf"
8S7,4645.15,0.6,4650.46,,,2.844,,,351.6174402,,,4.16E-05,0
0T37,4651.4,1,4650.23,,,7.588,,,131.7870322,,,0.000110854,T       1 S29   5233.02 ± 1.50 5239.29                6.363  W
1S25,4662.65,2.1,4668.93,,,6.378,,,156.7889621,,,9.36E-05,W
5S12,4696.8,0.6,4695.98,,,2.593,,,385.653683,,,3.83E-05,W
0S40,4708.4,0.4,4710.1,6.06,0.1,6.339,165.0165017,2.723044582,157.7535889,8.96E-05,1.48E-06,9.38E-05,"S,tvf"
2T18,4710,2.5,4714.71,,,4.281,,,233.5902826,,,6.34E-05,WT
1T24,4721,2,4721.36,,,5.276,,,189.5375284,,,7.83E-05,WT
4S16,4729.85,1.5,4735.78,,,3.842,,,260.2811036,,,5.72E-05,W
0T38,4761.2,1.3,4759.96,,,7.597,,,131.6309069,,,0.000113604,T       11 S6   5348.28 ± 0.50 5351.70   2.31 ± .25    2.158
7S10,4763.5,4.5,4767.76,,,3.756,,,266.2406816,,,5.63E-05,WT
11S4,4766.05,0.25,4766.86,1.37,0.07,1.425,729.9270073,37.29554052,701.754386,2.05E-05,1.05E-06,2.13E-05,27
3S21,4771.58,0.8,4772.64,,,4.845,,,206.3983488,,,7.26E-05,W
0S41,4798.1,0.4,4799.67,,,6.411,,,155.9819061,,,9.67E-05,S       2 T22   5366.00 ± 2.50 5372.32                4.440 WT
1S26,4809.11,1.4,4812.57,,,6.368,,,157.0351759,,,9.63E-05,W
13S2,4844.7,0.35,4845.26,1.02,0.05,1.138,980.3921569,48.05843906,878.7346221,1.55E-05,7.61E-07,1.73E-05,27
1T25,4859.5,2,4859.6,,,5.357,,,186.6716446,,,8.18E-05,WT
0T39,4871,1.3,4869.69,,,7.605,,,131.4924392,,,0.000116346,T        5 T3                  5396.19                 5.007
2T19,4874,3,4882.09,,,4.319,,,231.5350776,,,6.62E-05,–
4T10,4885,5,4883.02,,,4.526,,,220.9456474,,,6.94E-05,WT
4S17,4885.32,1.2,4889.38,,,3.854,,,259.4706798,,,5.92E-05,W
5S0,4885.5,0.3,4884.17,0.94,0.03,1.086,1063.829787,33.95201449,920.8103131,1.44E-05,4.60E-07,1.67E-05,"21,A"
0S42,4887.9,0.5,4889.34,,,6.481,,,154.2971764,,,9.96E-05,S       0 T44   5419.90 ± 1.50 5418.38                7.627  T
8S8,4902.34,2,4908.07,,,2.384,,,419.4630872,,,3.68E-05,WT
7S11,4915.5,3,4916.94,,,3.87,,,258.3979328,,,5.98E-05,WT
5S13,4925.46,1.1,4924.4,,,2.59,,,386.1003861,,,4.01E-05,W
3S22,4932.87,0.9,4935.56,,,4.926,,,203.0044661,,,7.64E-05,W
1S27,4952.77,1.6,4955.54,,,6.361,,,157.2079862,,,9.90E-05,W
0S43,4977.7,0.5,4979.12,6.33,0.15,6.549,157.9778831,3.743551732,152.6950679,9.90E-05,2.35E-06,0.000102442,"S,H/G"
0T40,4980.7,1.3,4979.42,8.3,0.25,7.611,120.4819277,3.628973726,131.3887794,0.000129873,3.91E-06,0.000119061,"T,G"
4T11,4993.5,4.5,4996.59,,,4.523,,,221.0921954,,,7.10E-05,WT
3T16,5040,4.5,5054.35,,,4.121,,,242.6595487,,,6.54E-05,WT
4S18,5043.66,1.1,5046.41,,,3.86,,,259.0673575,,,6.12E-05,W
2T20,5044.5,4,5047.32,,,4.359,,,229.4104152,,,6.91E-05,WT
0S44,5067.6,0.6,5069.01,,,6.615,,,151.1715797,,,0.000105342,S
7S12,5069.25,1.6,5071.02,,,3.936,,,254.0650407,,,6.27E-05,W
11S5,5072.6,0.25,5074.41,1.56,0.12,1.503,641.025641,49.30966469,665.3359947,2.49E-05,1.91E-06,2.40E-05,27
1S28,5088.65,2.6,5097.8,,,6.36,,,157.2327044,,,0.000101857,W
0T41,5090.6,1.5,5089.15,,,7.617,,,131.2852829,,,0.000121781,T
3S23,5098.42,0.8,5098.49,,,4.999,,,200.040008,,,8.01E-05,W
4T12,5116,6,5119.49,,,4.517,,,221.3858756,,,7.26E-05,WT
1T27,5129,2,5131.5,,,5.525,,,180.9954751,,,8.91E-05,WT
5S14,5136.4,0.8,5136.81,,,2.691,,,371.6090673,,,4.34E-05,W
0S45,5157.9,0.6,5159.01,,,6.68,,,149.7005988,,,0.000108266,S
13S3,5193.9,0.25,5193.82,1.15,0.1,1.101,869.5652174,75.61436673,908.2652134,1.88E-05,1.63E-06,1.80E-05,27
0T42,5200.5,1.5,5198.89,,,7.621,,,131.2163758,,,0.000124472,T
4S19,5200.63,1.55,5206.51,,,3.862,,,258.9331952,,,6.32E-05,W
2T21,5202,2.5,5210.67,,,4.399,,,227.3243919,,,7.20E-05,WT
8S9,5207,2,5211.87,,,1.994,,,501.5045135,,,3.26E-05,WT
6S13,5233.5,2.5,5233.88,,,3.944,,,253.5496957,,,6.49E-05,WT
3T17,5234,8,5242.2,,,4.171,,,239.7506593,,,6.87E-05,WT
4T13,5243,7,5251.78,,,4.505,,,221.9755827,,,7.43E-05,WT
0S46,5248.2,0.6,5249.12,,,6.743,,,148.3019428,,,0.000111196,S
3S24,5262.94,0.85,5261.42,,,5.05,,,198.019802,,,8.35E-05,W
1T28,5264.5,2,5265.22,,,5.611,,,178.2213509,,,9.28E-05,WT
0T43,5310.3,1.5,5308.63,,,7.625,,,131.147541,,,0.000127166,T
5S15,5327.26,1.2,5330.11,,,2.894,,,345.5425017,,,4.85E-05,W
0S47,5338.5,0.6,5339.35,,,6.804,,,146.9723692,,,0.000114131,S
4S20,5362.19,1.3,5369.24,,,3.862,,,258.9331952,,,6.51E-05,W
1S30,5373.06,1.8,5379.96,,,6.371,,,156.9612306,,,0.00010768,W
9S9,5381.55,3,5389.25,,,2.696,,,370.9198813,,,4.56E-05,WT
4T14,5384.5,4.5,5393.54,,,4.488,,,222.8163993,,,7.60E-05,WT
1T29,5399.5,2.5,5397.51,,,5.697,,,175.5309812,,,9.66E-05,WT
6S14,5411,2,5410.08,,,3.857,,,259.2688618,,,6.56E-05,W/34
3T18,5414,7,5427.08,,,4.232,,,236.294896,,,7.22E-05,WT
3S25,5424.5,2.5,5425.56,,,4.835,,,206.8252327,,,8.24E-05,WT
0S48,5429,0.6,5429.7,,,6.865,,,145.6664239,,,0.000117103,S
5S16,5505.95,1.1,5506.96,,,3.117,,,320.8213025,,,5.39E-05,W
8S10,5506.78,1,5508.75,,,2.031,,,492.3682915,,,3.51E-05,W
1S31,5513.54,2.1,5519.76,,,6.385,,,156.6170713,,,0.000110721,W
0S49,5519.5,0.7,5520.16,,,6.924,,,144.4251878,,,0.000120077,S
2T23,5525.5,2.5,5532.41,,,4.481,,,223.1644722,,,7.79E-05,WT
4S21,5526.07,1.3,5534.06,,,3.861,,,259.000259,,,6.71E-05,W
1T30,5527.5,1.5,5528.4,,,5.783,,,172.9206294,,,0.000100439,WT
0T45,5529.8,1.5,5528.13,,,7.63,,,131.061599,,,0.000132511,T
4T15,5538,7,5544.83,,,4.462,,,224.1147468,,,7.77E-05,WT
14S4,5543.3,0.6,5541.84,1.3,0.15,1.346,769.2307692,88.75739645,742.9420505,2.26E-05,2.61E-06,2.34E-05,WT
2S26,5579,3,5582.65,,,5.148,,,194.2501943,,,9.03E-05,WT
6S15,5600.2,1.3,5602.51,,,3.673,,,272.2570106,,,6.46E-05,W
9S10,5605.54,1.6,5610.93,,,3.127,,,319.795331,,,5.51E-05,W
3T19,5607,4.5,5608.11,,,4.296,,,232.7746741,,,7.57E-05,WT
0S50,5610.3,0.7,5610.73,,,6.982,,,143.2254368,,,0.000123069,S         5 T13                  6102.68                 4.816
0T46,5639.5,2,5637.89,,,7.631,,,131.0444241,,,0.00013516,"T         12 S8   6133.30 ± 0.40 6137.17   1.85 ± .10    1.763 WT,ss"
1S32,5652.36,2.4,5658.62,,,6.404,,,156.1524047,,,0.000113844,WT
1T31,5656,3,5657.96,,,5.868,,,170.4158146,,,0.000104304,WT
5S17,5669.85,1.3,5673.69,,,3.295,,,303.4901366,,,5.87E-05,W
2T24,5684.5,4,5691.09,,,4.522,,,221.141088,,,8.08E-05,WT
4S22,5695,1.5,5700.49,,,3.861,,,259.000259,,,6.91E-05,W/WT
0S51,5701.6,0.8,5701.42,7.3,0.15,7.039,136.9863014,2.814787014,142.0656343,0.000130758,2.69E-06,0.000126079,"S,H"
4T16,5709,7,5705.48,,,4.431,,,225.6826901,,,7.94E-05,WT
8S11,5709.54,1.5,5717.48,,,3.095,,,323.1017771,,,5.56E-05,W
10S8,5735,7,5737.09,,,3.55,,,281.6901408,,,6.40E-05,WT
6S0,5742.43,0.3,5740.25,0.94,0.03,1.095,1063.829787,33.95201449,913.2420091,1.70E-05,5.41E-07,1.97E-05,"WT,A"
2S27,5746.13,0.9,5745.07,,,5.316,,,188.1113619,,,9.59E-05,W
0T47,5749.3,2,5747.66,,,7.631,,,131.0444241,,,0.000137791,T         0 S57   6250.00 ± 1.30 6247.80                7.357    S
3T20,5785,8,5785.19,,,4.357,,,229.5157218,,,7.92E-05,WT
1T32,5786.5,3,5786.24,,,5.952,,,168.0107527,,,0.000108196,WT
1S33,5788.81,2.1,5796.49,,,6.429,,,155.5451859,,,0.000117073,W
0S52,5792.5,1.2,5792.22,,,7.095,,,140.944327,,,0.000129106,S         0 T52   6298.50 ± 3.00 6296.58                7.626    T
6S16,5806.74,1.4,5808.4,,,3.474,,,287.8526195,,,6.34E-05,W
5S18,5829.2,2,5835.59,,,3.422,,,292.226768,,,6.27E-05,W
2T25,5843,3.5,5848.47,,,4.561,,,219.2501644,,,8.38E-05,WT
0T48,5859.2,2,5857.43,,,7.631,,,131.0444241,,,0.000140423,T         4 S26   6365.49 ± 1.30 6373.42                3.876   W
4S23,5861.48,1.4,5868.03,,,3.861,,,259.000259,,,7.12E-05,W
8S12,5869.04,2.5,5876.05,,,3.565,,,280.5049088,,,6.58E-05,–
4T17,5870,9,5874.88,,,4.396,,,227.4795268,,,8.11E-05,WT
9S11,5880.83,0.9,5885.77,,,2.416,,,413.9072848,,,4.47E-05,W
0S53,5883.8,1.5,5883.13,7.04,0.2,7.149,142.0454545,4.035382231,139.8797035,0.000130131,3.70E-06,0.000132131,"S,O"
2S28,5903.81,1.1,5906.03,,,5.393,,,185.4255516,,,0.000100064,W
1T33,5915,3.5,5913.31,,,6.034,,,165.7275439,,,0.000112095,WT
1S34,5929.2,2.9,5933.35,,,6.459,,,154.822728,,,0.000120397,W
10S9,5939,4.5,5941.76,,,3.125,,,320,,,5.83E-05,WT
3T21,5955,6,5958.71,,,4.411,,,226.7059624,,,8.26E-05,WT
0T49,5969,2,5967.21,8.37,0.25,7.631,119.474313,3.568527868,131.0444241,0.000156956,4.69E-06,0.000143055,"T,G"
0S54,5975.1,1.4,5974.14,7.38,0.2,7.203,135.501355,3.672123442,138.8310426,0.000138532,3.75E-06,0.000135188,"S,G"
5S19,5988.49,2.2,5995.82,,,3.513,,,284.6569883,,,6.62E-05,W
2T26,6001,4.5,6004.65,,,4.598,,,217.4858634,,,8.67E-05,WT
8S13,6018.93,3.5,6024.43,,,3.778,,,264.6903123,,,7.15E-05,WT
6S17,6020.71,1.2,6021.31,,,3.325,,,300.7518797,,,6.29E-05,W
4S24,6028.67,1.5,6036.26,,,3.864,,,258.7991718,,,7.33E-05,W
15S3,6030.9,0.35,6035.22,1.2,0.1,1.241,833.3333333,69.44444444,805.8017728,2.27E-05,1.89E-06,2.35E-05,WT
1T34,6039.5,3.5,6039.22,,,6.113,,,163.5858008,,,0.000115981,WT
1S35,6061.83,2.4,6069.14,,,6.494,,,153.9882969,,,0.00012382,W
0S55,6066.5,1.5,6065.26,,,7.255,,,137.8359752,,,0.000138241,S
2S29,6068.14,1.3,6066.18,,,5.46,,,183.1501832,,,0.000104054,W
0T50,6079,3,6076.99,,,7.63,,,131.061599,,,0.000145668,T
17S1,6122.6,1.5,6129.05,,,1.396,,,716.3323782,,,2.69E-05,0
3T22,6125,6,6129.31,,,4.456,,,224.4165171,,,8.58E-05,50
2T27,6151,6,6159.71,,,4.633,,,215.8428664,,,8.97E-05,WT
5S20,6152.22,1.9,6155.98,,,3.579,,,279.4076558,,,6.92E-05,W
0S56,6158.3,1.5,6156.48,,,7.306,,,136.8738024,,,0.000141306,S
8S14,6165.07,4.6,6170.65,,,3.904,,,256.147541,,,7.57E-05,WT
1T35,6166,3.5,6164.06,,,6.189,,,161.5769914,,,0.00011985,WT
9S12,6185.07,0.9,6187.26,,,2.15,,,465.1162791,,,4.18E-05,W
10S10,6185.1,1.4,6190.88,,,2.658,,,376.2227239,,,5.17E-05,W
0T51,6188.8,3,6186.78,,,7.628,,,131.0959622,,,0.00014826,T
1S36,6195,3,6203.83,,,6.534,,,153.0456076,,,0.000127347,W/WT
4S25,6197.23,1.6,6204.82,,,3.868,,,258.5315408,,,7.54E-05,W
2S30,6228.56,1.2,6225.58,,,5.524,,,181.0282404,,,0.00010804,W
6S18,6238.1,1.4,6235.56,,,3.236,,,309.0234858,,,6.34E-05,W
1T36,6287.5,3,6287.87,,,6.263,,,159.6678908,,,0.000123719,WT
3T23,6299,6,6297.6,,,4.491,,,222.6675573,,,8.89E-05,WT
2T28,6306.5,5.5,6313.75,,,4.667,,,214.2704093,,,9.26E-05,50
5S21,6310.38,2.2,6316.82,,,3.632,,,275.3303965,,,7.21E-05,W
8S15,6314.11,6.5,6317.11,,,3.99,,,250.6265664,,,7.92E-05,WT
15S4,6323.3,1,6332.35,2.6,0.2,2.507,384.6153846,29.58579882,398.8831272,5.16E-05,3.97E-06,4.99E-05,0
1S37,6331.98,3.3,6337.41,,,6.578,,,152.0218912,,,0.000130965,W
0S58,6341.8,1.5,6339.21,,,7.406,,,135.0256549,,,0.000147492,S
2S31,6385.16,1.2,6384.2,,,5.585,,,179.0510295,,,0.000112016,W
13S7,6393,3.5,6398.97,,,2.613,,,382.7018752,,,5.25E-05,0
0T53,6408.5,3,6406.38,,,7.623,,,131.1819494,,,0.000153422,T
4T20,6410.4,5,6420.67,,,4.316,,,231.6960148,,,8.71E-05,50
1T37,6412.5,2.5,6410.74,,,6.333,,,157.9030475,,,0.000127546,WT
0S59,6434.6,1.7,6430.72,,,7.454,,,134.1561578,,,0.000150591,W
11S9,6435.5,2.5,6437.12,,,1.594,,,627.3525721,,,3.22E-05,WT
6S19,6446.15,1.8,6447.44,,,3.197,,,312.7932437,,,6.48E-05,W
10S11,6446.66,2.5,6454.44,,,2.637,,,379.2188093,,,5.35E-05,W
2T29,6459.5,5,6466.83,,,4.698,,,212.8565347,,,9.54E-05,50
3T24,6461,7,6464.14,,,4.517,,,221.3858756,,,9.17E-05,0
1S38,6465.34,2.7,6469.86,,,6.627,,,150.8978422,,,0.000134698,W
8S16,6468,6.5,6464.75,,,4.057,,,246.4875524,,,8.24E-05,WT
5T16,6470,5,6470.62,,,4.651,,,215.0075253,,,9.45E-05,0
5S22,6473.56,1.9,6478.57,,,3.678,,,271.8868951,,,7.49E-05,W
9S13,6479.69,0.9,6483.5,,,2.063,,,484.7309743,,,4.20E-05,W
0T54,6518.5,3,6516.18,,,7.62,,,131.2335958,,,0.00015599,T         7 S19   6919.81 ± 4.50 6921.84                4.175 W
0S60,6526.9,1.5,6522.32,,,7.501,,,133.3155579,,,0.000153699,W
1T38,6533.8,4,6532.73,,,6.4,,,156.25,,,0.000131348,50
4S27,6535.54,1.7,6541.8,,,3.886,,,257.3340196,,,7.99E-05,W
