mode,f_obs,f_unc,f_prem,q_obs,q_unc,q_prem,Q_obs,Q_unc,Q_prem,k_obs,k_unc,k_prem,ref
2S40,7774.94,2.5,7773.95,,,6.005,,,166.5278934,,,0.000146658,W
5S30,7778.52,2.6,7780,,,4.034,,,247.8929103,,,9.86E-05,W
7S24,7778.87,2.3,7780.08,,,4.013,,,249.1901321,,,9.81E-05,W
2T38,7798,4,7807.76,,,4.956,,,201.7756255,,,0.000121565,50
14S11,7813.16,7,7823.54,,,3.769,,,265.3223667,,,9.26E-05,WT
0S74,7830,7,7813.15,8.73,0.25,8.043,114.5475372,3.280284571,124.331717,0.000214746,6.15E-06,0.000197421,"S,O"
1T49,7830,6,7832.22,,,6.918,,,144.5504481,,,0.000170222,WT
0T66,7842,3,7833.97,,,7.555,,,132.3626737,,,0.000185937,T
8S20,7846.85,6.5,7843.35,,,4.106,,,243.5460302,,,0.000101174,WT
4S35,7859.58,1.8,7864.82,,,4.102,,,243.7835202,,,0.000101352,W
15S10,7896,6,7897.49,,,3.224,,,310.1736973,,,8.00E-05,WT
3T33,7914.5,4.5,7924.89,,,4.576,,,218.5314685,,,0.000113928,WT
2S41,7921.24,3.9,7924.01,,,6.038,,,165.6177542,,,0.00015031,W
6S27,7921.94,1.7,7926.36,,,3.81,,,262.4671916,,,9.49E-05,W
0S75,7925,7,7905.88,,,8.074,,,123.8543473,,,0.000200534,S
10S18,7936.46,1.1,7938.48,,,2.434,,,410.8463435,,,6.07E-05,W
5S31,7941.78,2.4,7940.16,,,4.08,,,245.0980392,,,0.000101775,W
1T50,7948.5,3.5,7947.68,,,6.947,,,143.9470275,,,0.000173455,WT
13S12,7950,5.5,7955.03,,,4.043,,,247.3410834,,,0.00010104,WT
0T67,7952,4,7943.78,8.46,0.3,7.548,118.2033097,4.191606727,132.4854266,0.000211347,7.50E-06,0.000188369,"T,G"
7S25,7964.31,2.8,7966.58,,,3.96,,,252.5252525,,,9.91E-05,W
8S21,7976.33,4.25,7989.31,,,4.156,,,240.6159769,,,0.000104312,0
0S76,8019,7,7998.68,8.9,0.25,8.103,112.3595506,3.156167151,123.4110823,0.000224213,6.30E-06,0.000203617,"S,G/H"
4S36,8019.95,1.5,8026.22,,,4.146,,,241.1963338,,,0.000104542,W
1T51,8058,6,8062.83,,,6.975,,,143.3691756,,,0.000176678,50
0T68,8062,4,8053.59,,,7.54,,,132.6259947,,,0.00019077,T          5 S34   8409.00 ± 4.00 8416.62                4.191 W/WT
2S42,8072,4.8,8073.21,,,6.069,,,164.7717911,,,0.000153926,W
3T34,8080,5,8084.26,,,4.581,,,218.2929491,,,0.000116346,WT
13S13,8084.46,9,8091.46,,,3.907,,,255.9508574,,,9.93E-05,0
6S28,8088.18,2.1,8093.69,,,3.871,,,258.3311806,,,9.84E-05,W
12S14,8088.3,0.9,8093.69,,,1.809,,,552.7915976,,,4.60E-05,W
2T40,8089,5,8096.87,,,5.027,,,198.9258007,,,0.000127872,WT
5S32,8099.06,2.1,8099.56,,,4.122,,,242.6006793,,,0.000104886,W
11S16,8101,5,8107.03,,,3.514,,,284.5759818,,,8.95E-05,WT
0S77,8112,7,8091.55,,,8.131,,,122.9861026,,,0.000206693,S         16 S10   8433.00 ± 3.00 8437.72                1.291  WT
16S9,8116,2,8117.59,,,1.392,,,718.3908046,,,3.55E-05,WT
20S4,8118,2,8116.77,1.38,0.25,1.278,724.6376812,131.2749422,782.4726135,3.52E-05,6.38E-06,3.26E-05,ss
15S11,8122.42,2,8130.95,,,1.999,,,500.2501251,,,5.11E-05,W
8S22,8127.86,4.4,8136.99,,,4.188,,,238.7774594,,,0.000107058,WT
7S26,8154.33,2.3,8155.16,,,3.919,,,255.1671345,,,0.000100406,W
1T52,8171,7,8177.72,,,7,,,142.8571429,,,0.000179837,50
0T69,8173,4,8163.4,,,7.533,,,132.7492367,,,0.000193192,T          7 S28   8522.63 ± 3.00 8533.66                3.876  W
4S37,8184.38,1.5,8186.69,,,4.192,,,238.5496183,,,0.000107815,W
10S19,8195.52,1.1,8197.96,,,2.428,,,411.8616145,,,6.25E-05,W
4T30,8196,10,8215.47,,,4.348,,,229.9908004,,,0.00011222,50
22S2,8200,2,8207.04,1.67,0.25,1.397,598.8023952,89.64107713,715.8196135,4.30E-05,6.44E-06,3.60E-05,41
0S78,8207,8,8184.47,,,8.158,,,122.5790635,,,0.000209761,S          4 T32   8548.00 ± 7.00 8553.86                4.377  WT
2S43,8219.54,4.1,8221.56,,,6.098,,,163.9881929,,,0.000157504,W
2T41,8230,8,8240.08,,,5.066,,,197.394394,,,0.000131143,WT
3T35,8234,10,8243,,,4.589,,,217.9123992,,,0.000118837,50
5S33,8253.59,2.6,8258.32,,,4.159,,,240.442414,,,0.000107902,W
13S14,8254.84,6.5,8258.94,,,3.502,,,285.5511136,,,9.09E-05,WT
6S29,8255.78,2.1,8260.57,,,3.918,,,255.2322614,,,0.000101677,W
11S17,8265,8,8268,,,3.821,,,261.7115938,,,9.92E-05,WT
9S0,8268,2,8262.64,0.8,0.15,1.19,1250,234.375,840.3361345,2.08E-05,3.90E-06,3.09E-05,WT
0T70,8282,4,8273.2,,,7.524,,,132.9080276,,,0.000195556,T           8 T5                  8624.69                 4.967
8S23,8282.21,8,8287.05,,,4.205,,,237.8121284,,,0.000109475,–
1T53,8290,7,8292.35,,,7.023,,,142.3892923,,,0.000182957,50
0S79,8302,8,8277.46,,,8.184,,,122.1896383,,,0.00021282,S          7 T19                  8626.95                 4.685
4S38,8342.15,2.2,8346.24,,,4.242,,,235.7378595,,,0.000111227,W
